  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts  soc-th cpu-th\
11:04:04  10.8   0.0   0.8  88.0   0.5    1   1803   1464   0.00E  48.00  48.00\
11:04:05  22.6   0.0   3.4  73.7   0.3    2   7405   4852   0.00E  49.00  48.00\
11:04:06  21.7   0.0   2.6  75.7   0.0    1   6358   3656   0.00E  48.00  48.00\
11:04:07  20.9   0.0   0.5  78.5   0.0    1   5423   3362   0.00E  49.00  48.00\
11:04:08  21.2   0.0   0.5  78.3   0.0    1   5208   3349   0.00E  49.00  48.00\
11:04:09  21.5   0.0   0.3  78.3   0.0    1   5515   3526   0.00E  49.00  48.00\
11:04:10  20.7   0.0   1.0  78.3   0.0    1   6298   4484   0.00E  49.00  49.00\
11:04:11  23.0   0.0   5.7  71.0   0.3    2   6019   3536   0.00E  49.00  48.00\
11:04:12  21.2   0.0   1.6  77.3   0.0    1   5201   3322   0.00E  49.00  49.00\
11:04:13  22.2   0.0   1.6  76.2   0.0    1   5293   3266   0.00E  49.00  49.00\
11:04:14  20.9   0.0   2.6  76.5   0.0    1   5118   3285   0.00E  50.00  49.00\
11:04:15  22.6   0.0   1.3  76.1   0.0    1   6120   3917   0.00E  50.00  49.00\
11:04:16  22.9   0.0   6.9  70.2   0.0    1  10115   3505   0.00E  50.00  49.00\
11:04:17  21.4   0.0   1.0  77.5   0.0    1   5482   3377   0.00E  50.00  49.00\
11:04:18  20.9   0.0   3.1  75.5   0.5    2   4290   2864   0.00E  50.00  49.00\
11:04:19   0.5   0.0   0.8  98.8   0.0    1    271    254   0.00E  49.00  49.00\
11:04:20   0.0   0.0   0.3  99.7   0.0    1    922    552   0.00E  49.00  49.00\
11:04:21   2.0   0.0   4.0  93.8   0.2    1    557    539   0.00E  49.00  48.00\
11:04:22   0.0   0.0   0.0 100.0   0.0    1    126    127   0.00E  48.00  48.00\
11:04:23   0.0   0.0   0.2  99.8   0.0    1    113    129   0.00E  48.00  48.00\
11:04:24   0.2   0.0   0.2  99.5   0.0    1    448    338   0.00E  48.00  48.00\
11:04:25   0.2   0.0   0.2  99.5   0.0    1    664    446   0.00E  48.00  48.00\
11:04:26   1.5   0.0   2.3  96.2   0.0    4    395    377   0.00E  49.00  48.00\
11:04:27   1.0   0.0   1.2  97.8   0.0    1    274    284   0.00E  48.00  48.00\
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts  soc-th cpu-th\
11:04:28   0.0   0.0   0.2  99.8   0.0    1    131    130   0.00E  48.00  48.00\
11:04:29   0.2   0.0   0.2  99.5   0.0    1    244    199   0.00E  48.00  48.00\
11:04:30   0.0   0.0   0.3  99.7   0.0    1    399    346   0.00E  48.00  48.00\
11:04:31   0.0   0.0   0.2  99.8   0.0    1    122    135   0.00E  48.00  48.00\
11:04:32   2.0   0.0   3.8  94.2   0.0    1    517    522   0.00E  48.00  48.00\
11:04:33   0.2   0.0   0.0  99.8   0.0    1    121    134   0.00E  48.00  48.00\
11:04:34   0.0   0.0   0.3  99.7   0.0    1    130    117   0.00E  48.00  48.00\
11:04:35   0.0   0.0   0.2  99.8   0.0    1    680    421   0.00E  48.00  48.00\
11:04:36   0.3   0.0   0.3  99.0   0.5    1    834    941   0.00E  48.00  48.00\
11:04:37   2.3   0.0   3.3  94.4   0.0    1    552    556   0.00E  48.00  48.00\
11:04:38   0.0   0.0   0.2  99.8   0.0    1    122    119   0.00E  48.00  48.00\
11:04:39   0.0   0.0   0.2  99.8   0.0    1    250    188   0.00E  48.00  48.00\
11:04:40   0.3   0.0   0.0  99.7   0.0    1    654    416   0.00E  48.00  48.00\
11:04:41   0.0   0.0   0.2  99.8   0.0    1    129    124   0.00E  48.00  48.00\
11:04:42   2.5   0.0   3.3  92.5   1.8    1    660    645   0.00E  48.00  48.00\
11:04:43   0.0   0.0   0.2  99.8   0.0    1    110    105   0.00E  48.00  48.00\
11:04:44   0.0   0.0   0.0 100.0   0.0    1    119    107   0.00E  48.00  48.00\
11:04:45   0.0   0.0   0.5  99.5   0.0    1    918    546   0.00E  48.00  48.00\
11:04:46   0.2   0.0   0.0  99.8   0.0    1    148    169   0.00E  48.00  48.00\
11:04:47   1.3   0.0   2.5  96.2   0.0    4    378    373   0.00E  49.00  48.00\
11:04:48   3.0   0.0   4.0  93.0   0.0    6    823    680   0.00E  49.00  48.00\
11:04:49  27.1   0.0   4.3  68.6   0.0    1    969   1100   0.00E  49.00  49.00\
11:04:50  17.7   0.0   1.0  81.3   0.0    2   4032   2995   0.00E  50.00  49.00\
11:04:51  23.9   0.0   1.6  74.5   0.0    2   6409   3303   0.00E  50.00  49.00\
11:04:52  20.9   0.0   1.3  77.8   0.0    2   5188   3421   0.00E  50.00  49.00\
11:04:53  23.1   0.0   4.7  72.2   0.0    2   5645   3623   0.00E  50.00  49.00\
11:04:54  20.6   0.0   1.6  77.6   0.3    2   5170   3265   0.00E  50.00  50.00\
11:04:55  20.7   0.0   0.8  78.5   0.0    2   6112   4023   0.00E  50.00  50.00\
11:04:56  20.6   0.0   1.6  77.8   0.0    2   5125   3271   0.00E  51.00  50.00\
11:04:57  20.4   0.0   1.8  77.8   0.0    2   5607   3361   0.00E  51.00  50.00\
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts  soc-th cpu-th\
11:04:58  22.9   0.0   5.7  71.4   0.0    2   6866   3752   0.00E  51.00  50.00\
11:04:59  21.1   0.0   0.5  78.3   0.0    2   5800   3370   0.00E  51.00  50.00\
11:05:00  21.2   0.0   0.5  78.3   0.0    2   5884   3825   0.00E  51.00  50.00\
11:05:01  20.9   0.0   0.5  78.5   0.0    2   5708   3301   0.00E  51.00  50.00\
11:05:02  21.5   0.0   0.5  78.0   0.0    2   5078   3328   0.00E  51.00  50.00\
11:05:03  23.4   0.0   4.9  71.6   0.0    2   6039   3656   0.00E  51.00  50.00\
11:05:04  20.9   0.0   0.3  78.5   0.3    2   5189   3370   0.00E  51.00  50.00\
11:05:05   9.8   0.0   2.8  87.4   0.0    1   1767   1258   0.00E  50.00  50.00\
11:05:06   0.0   0.0   0.3  99.7   0.0    1    257    194   0.00E  50.00  50.00\
11:05:07   0.0   0.0   0.3  99.7   0.0    1    155    133   0.00E  50.00  50.00\
11:05:08   1.2   0.0   3.0  94.0   1.8    4   1076   1195   0.00E  50.00  50.00\
11:05:09   0.8   0.0   1.3  98.0   0.0    1    460    367   0.00E  50.00  50.00\
11:05:10   0.0   0.0   0.3  99.7   0.0    1    908    521   0.00E  50.00  49.00\
11:05:11   0.2   0.0   0.0  99.8   0.0    1    104     97   0.00E  49.00  49.00\
11:05:12   0.2   0.0   0.0  99.8   0.0    1    228    161   0.00E  50.00  49.00\
11:05:13   0.0   0.0   0.2  99.8   0.0    1    161    138   0.00E  50.00  49.00\
11:05:14   0.0   0.0   0.3  99.5   0.3    1    214    167   0.00E  50.00  49.00\
11:05:15   0.2   0.0   0.2  99.5   0.0    2    322    294   0.00E  49.00  49.00\
11:05:16   0.0   0.0   0.2  99.8   0.0    1    110    123   0.00E  50.00  49.00\
11:05:17   0.0   0.0   0.2  99.8   0.0    1    166    158   0.00E  49.00  49.00\
11:05:18   0.0   0.0   0.2  99.8   0.0    1    234    195   0.00E  50.00  49.00\
11:05:19   0.3   0.0   0.0  99.7   0.0    2    130    115   0.00E  49.00  49.00\
11:05:20   0.0   0.0   0.3  99.7   0.0    1    296    278   0.00E  49.00  49.00\
11:05:21   0.0   0.0   0.2  99.8   0.0    1    135    122   0.00E  49.00  49.00\
11:05:22   0.0   0.0   0.0 100.0   0.0    1    109    107   0.00E  49.00  49.00\
11:05:23   0.0   0.0   0.2  99.8   0.0    1    107    105   0.00E  49.00  49.00\
11:05:24   0.0   0.0   0.2  99.8   0.0    1    251    198   0.00E  49.00  49.00\
11:05:25   0.0   0.0   0.0 100.0   0.0    1    702    652   0.00E  49.00  49.00\
11:05:26   0.0   0.0   0.2  99.8   0.0    1    108     92   0.00E  49.00  49.00\
11:05:27   0.2   0.0   0.0  99.8   0.0    1    105    103   0.00E  49.00  49.00\
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts  soc-th cpu-th\
11:05:28   0.0   0.0   0.2  99.8   0.0    1    116     95   0.00E  49.00  49.00\
11:05:29   0.0   0.0   0.2  99.8   0.0    1    150    135   0.00E  49.00  49.00\
11:05:30   0.0   0.0   0.5  99.3   0.2    1    497    367   0.00E  49.00  49.00\
11:05:31   0.0   0.0   0.0 100.0   0.0    1    117    107   0.00E  49.00  49.00\
11:05:32   0.2   0.0   0.2  99.5   0.0    1    153    138   0.00E  49.00  49.00\
11:05:33   0.0   0.0   0.0 100.0   0.0    1    135    125   0.00E  49.00  49.00\
11:05:34   0.0   0.0   0.0 100.0   0.0    1    160    133   0.00E  49.00  49.00\
11:05:35  24.2   0.0   8.3  67.5   0.0    2   2012   1783   0.00E  50.00  50.00\
11:05:36  10.9   0.0   1.8  87.3   0.0    5   2034   1815   0.00E  51.00  50.00\
11:05:37  24.8   0.0   1.3  73.9   0.0    2   5237   3342   0.00E  50.00  50.00\
11:05:38  20.8   0.0   1.8  77.4   0.0    2   5144   3456   0.00E  51.00  50.00\
11:05:39  22.9   0.0   2.3  74.7   0.0    2   5781   3857   0.00E  51.00  50.00\
11:05:40  22.2   0.0   2.1  75.7   0.0    2   6462   4511   0.00E  51.00  50.00\
11:05:41  23.5   0.0   1.8  74.7   0.0    2   5111   3448   0.00E  51.00  51.00\
11:05:42  25.1   0.0   2.5  72.5   0.0    2   5384   3537   0.00E  51.00  51.00\
11:05:43  21.1   0.0   0.5  78.4   0.0    2   5674   3341   0.00E  51.00  51.00\
11:05:44  20.7   0.0   1.1  78.2   0.0    2   5474   3415   0.00E  52.00  51.00\
11:05:45  21.6   0.0   0.8  77.3   0.3    5   5999   3948   0.00E  52.00  51.00\
11:05:46  20.9   0.0   0.5  78.5   0.0    5   6696   3324   0.00E  52.00  51.00\
11:05:47  20.9   0.0   0.5  78.5   0.0    2   5679   3310   0.00E  52.00  51.00\
11:05:48  21.1   0.0   0.8  78.1   0.0    2   5211   3362   0.00E  52.00  51.00\
11:05:49  20.8   0.0   0.3  78.9   0.0    2   5330   3243   0.00E  52.00  51.00\
11:05:50  21.0   0.0   0.5  78.5   0.0    2   5424   3656   0.00E  52.00  51.00\
11:05:51  13.2   0.0   2.0  84.7   0.0    1   1699   1287   0.00E  51.00  51.00\
11:05:52   0.0   0.0   0.2  99.8   0.0    1    150    156   0.00E  52.00  51.00\
11:05:53   0.5   0.0   0.0  99.5   0.0    1    268    200   0.00E  51.00  51.00\
11:05:54   0.0   0.0   0.3  99.7   0.0    1    249    234   0.00E  51.00  50.00\
11:05:55   0.0   0.0   0.2  99.5   0.2    1    986    595   0.00E  51.00  51.00\
11:05:56   0.0   0.0   0.3  99.7   0.0    1    347    392   0.00E  50.00  50.00\
11:05:57   0.2   0.0   0.0  99.8   0.0    1    132    133   0.00E  51.00  50.00\
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts  soc-th cpu-th\
